Date,Description,Category,Amount
2025-01-05,Coffee Shop,Food,4500
2025-01-10,Supermarket,Food,23000
2025-01-12,Bus Ticket,Transport,2500
2025-01-15,Online Shopping,Shopping,32000
2025-01-20,Restaurant,Food,12000
2025-02-02,Cinema,Entertainment,15000
2025-02-07,Taxi,Transport,8000
2025-02-10,Supermarket,Food,28000
2025-02-15,Clothing Store,Shopping,45000
2025-02-20,Restaurant,Food,15000
2025-03-01,Coffee Shop,Food,5000
2025-03-05,Online Shopping,Shopping,25000
2025-03-10,Bus Ticket,Transport,2500
2025-03-12,Concert,Entertainment,30000
2025-03-18,Supermarket,Food,26000
